model,run_id,features,train_roc_auc,test_roc_auc,hyperparameters
CatBoost,5,6,0.9101570180229384,0.8446561135371179,"{'border_count': 247, 'depth': 5, 'iterations': 130, 'l2_leaf_reg': np.float64(8.1134195274865), 'learning_rate': np.float64(0.23915090675404962), 'random_strength': np.float64(1.2119199495620228)}"
CatBoost,7,6,0.9101570180229384,0.8446561135371179,"{'border_count': 247, 'depth': 5, 'iterations': 130, 'l2_leaf_reg': np.float64(8.1134195274865), 'learning_rate': np.float64(0.23915090675404962), 'random_strength': np.float64(1.2119199495620228)}"
CatBoost,2,22,0.9050669033315127,0.8439383187772924,"{'border_count': 175, 'depth': 3, 'iterations': 250, 'l2_leaf_reg': np.float64(4.207800649717358), 'learning_rate': np.float64(0.06409036801595772), 'random_strength': np.float64(0.08155028310952783)}"
CatBoost,4,5,0.9001078645548881,0.841629366812227,"{'border_count': 224, 'depth': 5, 'iterations': 150, 'l2_leaf_reg': np.float64(10.717120953891037), 'learning_rate': np.float64(0.2561850090371643), 'random_strength': np.float64(1.4434590423297464)}"
CatBoost,6,7,0.9127826324412891,0.8351200873362445,"{'border_count': 224, 'depth': 5, 'iterations': 150, 'l2_leaf_reg': np.float64(10.717120953891037), 'learning_rate': np.float64(0.2561850090371643), 'random_strength': np.float64(1.4434590423297464)}"
LightGBM,2,22,0.9213498429819771,0.8341703056768559,"{'colsample_bytree': np.float64(0.5909124836035503), 'learning_rate': np.float64(0.06318730785749581), 'max_depth': 10, 'min_child_samples': 67, 'n_estimators': 71, 'num_leaves': 108, 'reg_alpha': np.float64(2.9122914019804194), 'reg_lambda': np.float64(6.118528947223795), 'subsample': np.float64(0.569746930326021)}"
CatBoost,1,22,0.9795033451665756,0.8324781659388646,"{'silent': True, 'auto_class_weights': 'Balanced', 'allow_writing_files': False, 'random_state': 42}"
RandForest,1,22,1.0,0.8319978165938866,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
CatBoost,3,4,0.8991256485527035,0.8316866812227074,"{'border_count': 247, 'depth': 5, 'iterations': 130, 'l2_leaf_reg': np.float64(8.1134195274865), 'learning_rate': np.float64(0.23915090675404962), 'random_strength': np.float64(1.2119199495620228)}"
GradBoost,2,22,0.9104080761878754,0.8316266375545851,"{'learning_rate': np.float64(0.09080747462861731), 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 102, 'subsample': np.float64(0.7447263801387816)}"
GradBoost,1,22,0.9101933711086837,0.8256741266375546,"{'ccp_alpha': 0.0, 'criterion': 'deprecated', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
RandForest,2,22,0.9777461086837793,0.823332423580786,"{'n_estimators': 28, 'min_samples_split': 4, 'max_features': None, 'max_depth': 11, 'criterion': 'gini'}"
LightGBM,1,22,0.9938288503549974,0.8113482532751091,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': None, 'num_leaves': 31, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
XGBoost,1,22,0.9994412206444566,0.7936080786026202,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': 'logloss', 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': 4.5775, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
AdaBoost,1,22,0.781743070726379,0.7915802401746725,"{'estimator': None, 'learning_rate': 1.0, 'n_estimators': 50, 'random_state': 42}"
LogRegression,1,22,0.7589056526488258,0.7777237991266376,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 100, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
